#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca9_H7VMKALXX_combined_L3_1	150	1013246	147248036	96.74	94.81	87.89




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca9_H7VMKALXX_combined_L3_1	506623	447359	88.3% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca9_H7VMKALXX_combined_L3_1	2756339	85698	0.04	9845	0.18	438452	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca9_H7VMKALXX_combined_L3_1	ABCA3-2	CG	247	3746	0.06
Ca9_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1655	7874	0.17
Ca9_H7VMKALXX_combined_L3_1	MET-1	CG	401	4880	0.08
Ca9_H7VMKALXX_combined_L3_1	MET-2	CG	160	2820	0.05
Ca9_H7VMKALXX_combined_L3_1	STK11	CG	16511	143523	0.10
Ca9_H7VMKALXX_combined_L3_1	NOTCH2	CG	7488	162568	0.04
Ca9_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	2726	2060	0.57
Ca9_H7VMKALXX_combined_L3_1	FGFR3-1	CG	230	47	0.83
Ca9_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	617	5244	0.11
Ca9_H7VMKALXX_combined_L3_1	FGFR3-2	CG	290	5127	0.05
Ca9_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	371	2367	0.14
Ca9_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1392	1397	0.50
Ca9_H7VMKALXX_combined_L3_1	KEAP1-2	CG	3548	1390	0.72
Ca9_H7VMKALXX_combined_L3_1	ARID2-1	CG	2545	119899	0.02
Ca9_H7VMKALXX_combined_L3_1	RB1	CG	10921	479377	0.02
Ca9_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	351	1725	0.17
Ca9_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	932	2648	0.26
Ca9_H7VMKALXX_combined_L3_1	RAB31-2	CG	30	276	0.10
Ca9_H7VMKALXX_combined_L3_1	RAB31-1	CG	960	1039	0.48
Ca9_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	210	377	0.36
Ca9_H7VMKALXX_combined_L3_1	FBXW7	CG	118	338	0.26
Ca9_H7VMKALXX_combined_L3_1	ARID1A-1	CG	16941	183611	0.08
Ca9_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	86	1671	0.05
Ca9_H7VMKALXX_combined_L3_1	CBL-2	CG	2328	5275	0.31
Ca9_H7VMKALXX_combined_L3_1	CBL-1	CG	27668	295610	0.09
Ca9_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	114	1005	0.10
Ca9_H7VMKALXX_combined_L3_1	DAB2IP	CG	3935	3944	0.50
Ca9_H7VMKALXX_combined_L3_1	EP300-2	CG	501	2660	0.16
Ca9_H7VMKALXX_combined_L3_1	ERBB2-2	CG	904	3082	0.23
Ca9_H7VMKALXX_combined_L3_1	ARID2-2	CG	30	120	0.20
Ca9_H7VMKALXX_combined_L3_1	ERBB2-1	CG	471	4570	0.09
Ca9_H7VMKALXX_combined_L3_1	EGFR-1	CG	128	2805	0.04
Ca9_H7VMKALXX_combined_L3_1	EGFR-2	CG	2338	6136	0.28
Ca9_H7VMKALXX_combined_L3_1	ERCC1-1	CG	399	1102	0.27
Ca9_H7VMKALXX_combined_L3_1	ERCC1-2	CG	430	1193	0.26
Ca9_H7VMKALXX_combined_L3_1	NOTCH3	CG	1980	1834	0.52
Ca9_H7VMKALXX_combined_L3_1	PTEN	CG	394	554	0.42
Ca9_H7VMKALXX_combined_L3_1	EP300-1	CG	167	1934	0.08
Ca9_H7VMKALXX_combined_L3_1	ERCC2-2	CG	358	753	0.32
Ca9_H7VMKALXX_combined_L3_1	ERCC2-1	CG	386	562	0.41
Ca9_H7VMKALXX_combined_L3_1	PRDM14-3	CG	659	4394	0.13
Ca9_H7VMKALXX_combined_L3_1	PRDM14-2	CG	870	7029	0.11
Ca9_H7VMKALXX_combined_L3_1	PRDM14-1	CG	896	3245	0.22
Ca9_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	43	3214	0.01
Ca9_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	185	7434	0.02
Ca9_H7VMKALXX_combined_L3_1	MET-1	CHG	63	5	0.93
Ca9_H7VMKALXX_combined_L3_1	MET-2	CHG	14	6	0.70
Ca9_H7VMKALXX_combined_L3_1	STK11	CHG	7398	3841	0.66
Ca9_H7VMKALXX_combined_L3_1	NOTCH2	CHG	2196	1527	0.59
Ca9_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	408	189	0.68
Ca9_H7VMKALXX_combined_L3_1	FGFR3-1	CHG	67	77	0.47
Ca9_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	96	76	0.56
Ca9_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	109	78	0.58
