#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca4_H7VMKALXX_combined_L3_1	150	1343542	195516340	96.85	94.73	87.69




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca4_H7VMKALXX_combined_L3_1	671771	603536	89.8% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca4_H7VMKALXX_combined_L3_1	3557868	127730	0.05	12508	0.17	452913	0.56


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca4_H7VMKALXX_combined_L3_1	ABCA3-1	CG	957	2150	0.31
Ca4_H7VMKALXX_combined_L3_1	ABCA3-2	CG	248	5068	0.05
Ca4_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1108	11026	0.09
Ca4_H7VMKALXX_combined_L3_1	MET-1	CG	668	5528	0.11
Ca4_H7VMKALXX_combined_L3_1	MET-2	CG	300	3902	0.07
Ca4_H7VMKALXX_combined_L3_1	STK11	CG	18545	284152	0.06
Ca4_H7VMKALXX_combined_L3_1	ERCC1-2	CG	216	1092	0.17
Ca4_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	3067	2336	0.57
Ca4_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	1184	10526	0.10
Ca4_H7VMKALXX_combined_L3_1	FGFR3-2	CG	492	7759	0.06
Ca4_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	633	2794	0.18
Ca4_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	1535	3693	0.29
Ca4_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1389	1445	0.49
Ca4_H7VMKALXX_combined_L3_1	KEAP1-2	CG	4581	1883	0.71
Ca4_H7VMKALXX_combined_L3_1	ARID2-1	CG	5431	167118	0.03
Ca4_H7VMKALXX_combined_L3_1	RB1	CG	21782	619256	0.03
Ca4_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	488	2369	0.17
Ca4_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	79	1501	0.05
Ca4_H7VMKALXX_combined_L3_1	RAB31-2	CG	68	826	0.08
Ca4_H7VMKALXX_combined_L3_1	RAB31-1	CG	326	2835	0.10
Ca4_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	218	317	0.41
Ca4_H7VMKALXX_combined_L3_1	FBXW7	CG	92	286	0.24
Ca4_H7VMKALXX_combined_L3_1	ARID1A-1	CG	21832	249064	0.08
Ca4_H7VMKALXX_combined_L3_1	CBL-2	CG	1708	6309	0.21
Ca4_H7VMKALXX_combined_L3_1	CBL-1	CG	35595	377731	0.09
Ca4_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	241	1501	0.14
Ca4_H7VMKALXX_combined_L3_1	DAB2IP	CG	4088	5399	0.43
Ca4_H7VMKALXX_combined_L3_1	EP300-2	CG	383	2003	0.16
Ca4_H7VMKALXX_combined_L3_1	ERBB2-2	CG	816	4027	0.17
Ca4_H7VMKALXX_combined_L3_1	ARID2-2	CG	45	220	0.17
Ca4_H7VMKALXX_combined_L3_1	ERBB2-1	CG	547	6351	0.08
Ca4_H7VMKALXX_combined_L3_1	EGFR-1	CG	211	3170	0.06
Ca4_H7VMKALXX_combined_L3_1	EGFR-2	CG	2053	6786	0.23
Ca4_H7VMKALXX_combined_L3_1	ERCC1-1	CG	396	1236	0.24
Ca4_H7VMKALXX_combined_L3_1	NOTCH2	CG	12742	213981	0.06
Ca4_H7VMKALXX_combined_L3_1	NOTCH3	CG	1561	3099	0.33
Ca4_H7VMKALXX_combined_L3_1	PTEN	CG	307	630	0.33
Ca4_H7VMKALXX_combined_L3_1	EP300-1	CG	156	2435	0.06
Ca4_H7VMKALXX_combined_L3_1	ERCC2-2	CG	304	1206	0.20
Ca4_H7VMKALXX_combined_L3_1	ERCC2-1	CG	224	563	0.28
Ca4_H7VMKALXX_combined_L3_1	PRDM14-3	CG	657	9053	0.07
Ca4_H7VMKALXX_combined_L3_1	PRDM14-2	CG	883	9726	0.08
Ca4_H7VMKALXX_combined_L3_1	PRDM14-1	CG	598	3834	0.13
Ca4_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	1010	1923	0.34
